CustomerID,ChurnRisk,Confidence
1,Low,49.3
2,Low,42.6
3,Low,49.3
4,Low,43.7
5,Low,49.3
6,Low,36.7
7,Low,35.3
8,Low,46.0
9,Low,35.3
10,Low,42.6
11,Low,49.3
12,Low,46.2
13,Low,34.9
14,Low,35.3
15,Low,47.1
16,Low,34.3
17,Low,43.7
18,Low,34.3
19,Low,46.0
20,Low,49.3
21,Low,49.3
22,Low,43.7
23,Low,46.0
24,Low,33.1
25,Low,44.7
26,Low,49.3
27,Low,35.3
28,Low,46.0
29,Low,33.2
30,Low,49.3
31,Low,33.2
32,Low,49.3
33,Low,43.7
34,Low,46.0
35,Low,46.0
36,Low,34.3
37,Low,49.3
38,Low,47.1
39,Low,35.3
40,Low,36.7
41,Low,43.7
42,Low,33.1
43,Low,43.7
44,Low,33.1
45,Low,36.7
46,Low,35.3
47,Low,46.0
48,Low,49.3
49,Low,33.1
50,Low,33.1
51,Low,35.3
52,Low,49.3
53,Low,36.7
54,Low,36.7
55,Low,48.4
56,Low,36.7
57,Low,33.8
58,Low,33.8
59,Low,32.2
60,Low,33.2
61,Low,35.3
62,Low,35.3
63,Low,45.6
64,High,50.6
65,Low,34.9
66,Low,49.3
67,Low,33.8
68,Low,45.6
69,Low,46.2
70,Low,49.3
71,Low,46.0
72,High,50.6
73,Low,33.2
74,Low,33.6
75,Low,49.3
76,Low,34.9
77,Low,42.6
78,Low,46.0
79,Low,47.1
80,Low,34.5
81,Low,49.3
82,Low,46.0
83,Low,49.3
84,Low,47.1
85,High,50.6
86,Low,36.7
87,Low,48.4
88,Low,46.2
89,High,50.6
90,Low,46.0
91,Low,44.7
92,Low,46.0
93,Low,33.1
94,Low,35.2
95,Low,33.2
96,Low,36.7
97,Low,33.8
98,Low,46.0
99,Low,46.2
100,Low,47.1
101,Low,46.0
102,Low,46.0
103,Low,34.9
104,Low,42.6
105,Low,33.2
106,Low,46.0
107,Low,33.8
108,Low,43.7
109,Low,34.9
110,Low,46.2
111,Low,35.3
112,Low,42.6
113,Low,47.1
114,Low,35.3
115,Low,48.5
116,Low,46.0
117,Low,46.2
118,Low,36.7
119,Low,46.2
120,Low,35.3
121,Low,33.8
122,Low,46.0
123,Low,36.7
124,Low,46.0
125,Low,46.0
126,Low,48.5
127,Low,35.3
128,Low,33.6
129,Low,46.0
130,Low,48.4
131,Low,36.7
132,Low,49.3
133,Low,45.6
134,Low,49.3
135,Low,46.0
136,Low,33.6
137,Low,49.3
138,Low,46.2
139,High,50.6
140,Low,49.3
141,Low,33.2
142,Low,34.9
143,Low,33.1
144,Low,33.8
145,Low,32.2
146,Low,33.2
147,Low,43.7
148,Low,49.3
149,Low,42.6
150,Low,49.3
151,Low,49.3
152,Low,34.9
153,Low,33.8
154,Low,45.6
155,Low,46.0
156,Low,49.3
157,Low,36.7
158,Low,43.7
159,Low,46.2
160,Low,32.2
161,Low,49.3
162,Low,34.9
163,Low,49.3
164,Low,33.1
165,Low,43.7
166,Low,46.2
167,Low,49.3
168,Low,33.2
169,Low,47.1
170,Low,46.0
171,Low,48.4
172,Low,36.7
173,Low,46.2
174,Low,48.4
175,Low,43.7
176,Low,34.9
177,Low,36.7
178,Low,46.0
179,Low,36.7
180,High,50.6
181,Low,46.0
182,Low,46.0
183,Low,34.9
184,Low,42.6
185,Low,49.3
186,Low,49.3
187,Low,49.3
188,Low,46.0
189,Low,43.7
190,Low,37.7
191,Low,33.8
192,Low,49.3
193,Low,46.2
194,Low,34.3
195,Low,46.2
196,Low,47.1
197,Low,33.6
198,Low,35.2
199,Low,33.2
200,Low,46.0
201,Low,48.4
202,Low,49.3
203,Low,34.3
204,Low,49.3
205,Low,44.7
206,Low,48.4
207,Low,48.5
208,Low,46.0
209,Low,47.1
210,Low,48.1
211,Low,49.3
212,Low,46.0
213,Low,46.2
214,Low,43.7
215,Low,37.7
216,Low,47.1
217,Low,45.6
218,Low,48.5
219,Low,33.1
220,Low,49.3
221,Low,49.3
222,Low,32.2
223,High,50.6
224,Low,46.0
225,High,50.6
226,High,50.6
227,Low,48.4
228,Low,46.0
229,Low,35.3
230,Low,33.1
231,Low,33.1
232,Low,47.1
233,Low,49.3
234,Low,46.2
235,Low,34.9
236,Low,36.7
237,High,50.6
238,Low,36.7
239,Low,49.3
240,Low,46.2
241,Low,34.3
242,Low,34.3
243,Low,48.4
244,Low,44.7
245,Low,49.3
246,Low,46.0
247,Low,34.9
248,Low,49.3
249,Low,49.3
250,Low,33.8
251,Low,48.4
252,Low,46.0
253,Low,46.0
254,Low,34.9
255,Low,49.3
256,Low,48.5
257,Low,34.3
258,Low,34.9
259,Low,49.3
260,Low,49.3
261,Low,49.3
262,Low,36.7
263,Low,35.3
264,High,50.6
265,Low,34.9
266,Low,35.4
267,Low,32.2
268,Low,47.1
269,Low,46.2
270,Low,33.6
271,Low,49.3
272,Low,48.5
273,Low,46.0
274,Low,37.7
275,Low,46.0
276,Low,36.7
277,Low,35.3
278,Low,49.3
279,Low,49.3
280,Low,46.0
281,Low,46.0
282,Low,46.0
283,Low,34.9
284,Low,37.7
285,Low,46.0
286,Low,34.5
287,Low,49.3
288,Low,46.0
289,Low,49.3
290,Low,49.3
291,Low,36.7
292,Low,42.6
293,Low,42.6
294,Low,49.3
295,Low,46.0
296,Low,46.0
297,Low,45.6
298,Low,35.3
299,Low,35.3
300,Low,49.3
301,High,50.6
302,Low,36.7
303,Low,49.3
304,Low,45.6
305,Low,35.3
306,Low,32.2
307,Low,35.3
308,Low,45.6
309,Low,37.7
310,Low,33.8
311,Low,49.3
312,Low,47.1
313,Low,35.4
314,Low,49.3
315,Low,49.3
316,Low,34.9
317,High,50.6
318,Low,42.6
319,Low,47.1
320,Low,35.3
321,Low,34.9
322,Low,48.5
323,Low,49.3
324,Low,43.7
325,Low,48.5
326,Low,35.3
327,Low,49.3
328,Low,49.3
329,Low,49.3
330,Low,36.7
331,High,50.6
332,High,50.6
333,Low,33.8
334,Low,36.7
335,Low,34.9
336,Low,33.8
337,Low,33.1
338,Low,33.1
339,Low,47.1
340,Low,35.2
341,Low,46.0
342,Low,35.4
343,Low,35.3
344,Low,43.7
345,High,50.6
346,Low,36.7
347,Low,49.3
348,Low,46.2
349,Low,49.3
350,Low,42.4
351,Low,33.1
352,Low,43.7
353,Low,49.3
354,Low,36.7
355,Low,49.3
356,Low,49.3
357,Low,36.7
358,Low,33.2
359,Low,46.0
360,Low,34.9
361,Low,46.0
362,Low,48.5
363,Low,42.6
364,High,50.6
365,Low,49.3
366,Low,46.0
367,Low,49.3
368,Low,46.0
369,Low,33.8
370,Low,33.2
371,Low,43.7
372,Low,36.7
373,Low,46.2
374,Low,33.8
375,Low,47.1
376,Low,34.9
377,Low,46.0
378,Low,35.3
379,Low,35.4
380,Low,32.1
381,Low,48.4
382,Low,46.0
383,Low,48.5
384,Low,36.7
385,Low,33.1
386,Low,46.0
387,Low,35.3
388,Low,48.4
389,Low,35.3
390,Low,46.0
391,Low,35.3
392,Low,35.3
393,Low,49.3
394,Low,46.0
395,Low,35.3
