CustomerID,AttritionRisk,Confidence
1,Yes,61.9
2,Yes,52.0
3,Yes,83.2
4,No,23.9
5,Yes,70.1
6,Yes,55.5
7,No,39.6
8,Yes,83.1
9,Yes,56.2
10,No,46.8
11,No,26.0
12,No,15.2
13,No,12.0
14,No,13.5
15,No,15.7
16,Yes,66.0
17,Yes,91.1
18,No,15.8
19,Yes,70.7
20,No,20.4
21,No,23.9
22,No,13.6
23,No,39.9
24,No,33.8
25,No,35.7
26,No,13.5
27,No,44.9
28,No,34.0
29,Yes,78.3
30,No,20.3
31,Yes,75.9
32,No,33.4
33,No,45.5
34,No,25.0
35,No,17.4
36,Yes,77.4
37,No,39.6
38,No,31.2
39,No,39.2
40,No,38.7
41,No,42.4
42,Yes,87.2
43,Yes,91.2
44,Yes,85.5
45,Yes,90.2
46,No,31.6
47,No,45.0
48,Yes,59.1
49,No,49.2
50,No,30.5
51,Yes,54.6
52,No,34.8
53,No,13.3
54,Yes,66.1
55,Yes,68.0
56,Yes,79.6
57,Yes,82.9
58,No,31.6
59,Yes,72.3
60,Yes,87.2
61,No,44.8
62,No,37.6
63,No,17.7
64,Yes,84.2
65,No,45.5
66,No,31.5
67,No,37.7
68,Yes,53.7
69,No,36.2
70,No,34.4
71,Yes,94.6
72,No,29.4
73,No,43.3
74,No,33.7
75,No,13.2
76,No,30.9
77,Yes,61.3
78,No,35.3
79,No,32.8
80,No,49.8
81,No,22.8
82,No,35.1
83,No,13.4
84,No,30.9
85,No,35.7
86,No,38.1
87,No,46.5
88,No,17.7
89,Yes,76.0
90,No,20.1
91,Yes,75.9
92,Yes,57.0
93,No,13.2
94,No,14.0
95,No,27.0
96,No,39.3
97,Yes,56.8
98,No,21.8
99,No,18.6
100,No,11.3
101,Yes,50.1
102,No,33.0
103,No,29.7
104,No,13.3
105,Yes,82.4
106,Yes,66.2
107,No,27.7
108,No,39.9
109,No,44.8
110,No,31.7
111,No,30.7
112,No,42.2
113,Yes,68.9
114,No,45.6
115,No,33.5
116,No,35.5
117,No,43.5
118,No,20.6
119,No,44.3
120,No,36.2
121,No,30.9
122,Yes,59.4
123,No,21.7
124,Yes,87.6
125,No,30.3
126,Yes,65.3
127,Yes,84.9
128,Yes,91.4
129,No,18.6
130,No,37.9
131,No,13.9
132,No,41.6
133,Yes,51.3
134,No,18.2
135,No,41.1
136,Yes,77.6
137,No,30.1
138,Yes,65.6
139,Yes,75.3
140,No,35.5
141,Yes,75.4
142,No,14.4
143,Yes,76.9
144,Yes,86.5
145,No,38.4
146,No,39.6
147,No,36.1
148,No,47.1
149,Yes,77.6
150,No,11.9
151,No,14.3
152,Yes,80.9
153,No,27.0
154,No,47.5
155,No,32.8
156,Yes,86.4
157,No,13.7
158,No,13.4
159,Yes,70.7
160,No,45.0
161,No,38.5
162,No,17.7
163,Yes,85.3
164,No,18.3
165,No,46.3
166,No,32.5
167,No,45.9
168,Yes,66.2
169,No,23.2
170,No,24.9
171,No,39.6
172,No,22.9
173,Yes,78.6
