CustomerID,AttritionRisk,Confidence
1,No,12.72
2,Yes,58.12
3,No,12.72
4,Yes,58.12
5,No,12.72
6,No,12.72
7,No,12.72
8,No,12.72
9,No,12.72
10,No,12.72
11,No,12.72
12,No,12.72
13,No,12.72
14,No,12.72
15,No,12.72
16,No,12.72
17,No,35.33
18,No,12.72
19,No,12.72
20,No,12.72
21,No,12.72
22,No,12.72
23,No,12.72
24,No,4.34
25,No,12.72
26,No,12.72
27,No,12.72
28,No,12.72
29,No,12.72
30,No,32.69
31,No,12.72
32,No,12.72
33,No,12.72
34,No,12.72
35,No,12.72
36,No,32.69
37,No,12.72
38,No,12.72
39,No,12.72
40,No,12.72
41,No,12.72
42,No,12.72
43,No,12.72
44,No,12.72
45,No,12.72
46,No,12.72
47,No,12.72
48,No,12.72
49,No,12.72
50,No,12.72
51,No,12.72
52,No,12.72
53,No,12.72
54,No,12.72
55,Yes,58.12
56,Yes,58.12
57,No,12.72
58,No,32.69
59,No,25.99
60,No,12.72
61,No,12.72
62,No,12.72
63,Yes,58.12
64,No,12.72
65,No,12.72
66,No,12.72
67,Yes,58.12
68,No,12.72
69,No,12.72
70,No,12.72
71,No,12.72
72,No,12.72
73,No,32.69
74,No,12.72
75,No,12.72
76,Yes,58.12
77,No,12.72
78,No,12.72
79,No,12.72
80,No,12.72
81,Yes,58.12
82,No,12.72
83,No,12.72
84,No,12.72
85,No,26.62
86,No,12.72
87,No,12.72
88,No,12.72
89,No,12.72
90,No,12.72
91,No,12.72
92,No,12.72
93,No,12.72
94,No,12.72
95,No,12.72
96,No,12.72
97,No,12.72
98,No,12.72
99,No,12.72
100,No,35.04
101,No,12.72
102,No,12.72
103,No,12.72
104,No,12.72
105,Yes,58.12
106,No,12.72
107,Yes,58.12
108,No,12.72
109,No,12.72
110,No,12.72
111,No,12.72
112,No,12.72
113,No,12.72
114,No,12.72
115,No,12.72
116,No,12.72
117,No,12.72
118,Yes,58.12
119,No,12.72
120,No,12.72
121,No,12.72
122,No,12.72
123,No,12.72
124,No,12.72
125,No,12.72
126,No,12.72
127,Yes,54.21
128,No,32.69
129,No,12.72
130,No,12.72
131,No,12.72
132,No,12.72
133,No,12.72
134,Yes,58.12
135,No,12.72
136,No,12.72
137,No,12.72
138,No,12.72
139,No,12.72
140,Yes,52.31
141,No,12.72
142,No,12.72
143,No,12.72
144,No,12.72
145,No,12.72
146,No,12.72
147,No,12.72
148,No,12.72
149,No,12.72
150,Yes,68.0
151,No,12.72
152,No,12.72
153,No,12.72
154,No,12.72
155,No,12.72
156,No,12.72
157,No,12.72
158,No,12.72
159,No,12.72
160,No,12.72
161,No,12.72
162,No,12.72
163,No,12.72
164,No,12.72
165,No,32.69
166,No,12.72
167,No,12.72
168,No,12.72
169,No,12.72
170,No,12.72
171,No,12.72
172,No,12.72
173,No,38.43
174,No,12.72
175,No,12.72
176,No,12.72
177,No,32.69
178,No,12.72
179,No,12.72
180,No,5.68
181,No,12.72
182,No,12.72
183,Yes,58.12
184,No,12.72
185,No,4.34
186,No,12.72
187,Yes,58.12
188,No,32.69
189,No,12.72
190,No,12.72
191,No,12.72
192,No,12.72
193,Yes,58.12
194,No,12.72
195,No,12.72
196,No,19.03
197,No,12.72
198,No,12.72
199,No,12.72
200,No,12.72
201,No,36.65
202,No,12.72
203,No,12.72
204,No,12.72
205,No,12.72
206,No,12.72
207,No,12.72
208,No,12.72
209,No,12.72
210,No,12.72
211,No,12.72
212,No,12.72
213,No,12.72
214,Yes,58.12
215,No,12.72
216,No,12.72
217,No,12.72
218,No,12.72
219,Yes,58.12
220,No,12.72
