CustomerID,ChurnRisk,Confidence
1,Low,4.3
2,Low,4.3
3,Low,4.3
4,Low,4.3
5,Low,4.3
6,Low,4.3
7,Low,4.3
8,Low,4.3
9,Low,4.3
10,Low,4.3
11,Low,4.3
12,Low,4.3
13,Low,4.3
14,Low,4.3
15,Low,4.3
16,Low,4.3
17,Low,4.3
18,Low,4.3
19,Low,4.3
20,Low,4.3
21,Low,4.3
22,Low,4.3
23,Low,4.3
24,Low,4.3
25,Low,4.3
26,Low,4.3
27,Low,4.3
28,Low,4.3
29,Low,4.3
30,Low,4.3
31,Low,4.3
32,Low,4.3
33,Low,4.3
34,Low,4.3
35,Low,4.3
36,Low,4.3
37,Low,4.3
38,Low,4.3
39,Low,4.3
40,Low,4.3
41,Low,4.3
42,Low,4.3
43,Low,4.3
44,Low,4.3
45,Low,4.3
46,Low,4.3
47,Low,4.3
48,Low,4.3
49,Low,4.3
50,Low,4.3
51,Low,4.3
52,Low,4.3
53,Low,4.3
54,Low,4.3
55,Low,4.3
56,Low,4.3
57,Low,4.3
58,Low,4.3
59,Low,4.3
60,Low,4.3
61,Low,4.3
62,Low,4.3
63,Low,4.3
64,Low,4.3
65,Low,4.3
66,Low,4.3
67,Low,4.3
68,Low,4.3
69,Low,4.3
70,Low,4.3
71,Low,4.3
72,Low,4.3
73,Low,4.3
74,Low,4.3
75,Low,4.3
76,Low,4.3
77,Low,4.3
78,Low,4.3
79,Low,4.3
80,Low,4.3
81,Low,4.3
82,Low,4.3
83,Low,4.3
84,Low,4.3
85,Low,4.3
86,Low,4.3
87,Low,4.3
88,Low,4.3
89,Low,4.3
90,Low,4.3
91,Low,4.3
92,Low,4.3
93,Low,4.3
94,Low,4.3
95,Low,4.3
96,Low,4.3
97,Low,4.3
98,Low,4.3
99,Low,4.3
100,Low,4.3
101,Low,4.3
102,Low,4.3
103,Low,4.3
104,Low,4.3
105,Low,4.3
106,Low,4.3
107,Low,4.3
108,Low,4.3
109,Low,4.3
110,Low,4.3
111,Low,4.3
112,Low,4.3
113,Low,4.3
114,Low,4.3
115,Low,4.3
116,Low,4.3
117,Low,4.3
118,Low,4.3
119,Low,4.3
120,Low,4.3
121,Low,4.3
122,Low,4.3
123,Low,4.3
124,Low,4.3
125,Low,4.3
126,Low,4.3
127,Low,4.3
128,Low,4.3
129,Low,4.3
130,Low,4.3
131,Low,4.3
132,Low,4.3
133,Low,4.3
134,Low,4.3
135,Low,4.3
136,Low,4.3
137,Low,4.3
138,Low,4.3
139,Low,4.3
140,Low,4.3
141,Low,4.3
142,Low,4.3
143,Low,4.3
144,Low,4.3
145,Low,4.3
146,Low,4.3
147,Low,4.3
148,Low,4.3
149,Low,4.3
150,Low,4.3
151,Low,4.3
152,Low,4.3
153,Low,4.3
154,Low,4.3
155,Low,4.3
156,Low,4.3
157,Low,4.3
158,Low,4.3
159,Low,4.3
160,Low,4.3
161,Low,4.3
162,Low,4.3
163,Low,4.3
164,Low,4.3
165,Low,4.3
166,Low,4.3
167,Low,4.3
168,Low,4.3
169,Low,4.3
170,Low,4.3
171,Low,4.3
172,Low,4.3
173,Low,4.3
174,Low,4.3
175,Low,4.3
176,Low,4.3
177,Low,4.3
178,Low,4.3
179,Low,4.3
180,Low,4.3
181,Low,4.3
182,Low,4.3
183,Low,4.3
184,Low,4.3
185,Low,4.3
186,Low,4.3
